ticker,company,fiscal_year,total_revenue,gross_profit,operating_income,net_income,ebitda,cost_of_revenue,selling_general_and_administration,total_assets,total_liabilities_net_minority_interest,total_debt,cash_and_cash_equivalents,stockholders_equity,operating_cash_flow,capital_expenditure,free_cash_flow,gross_margin,operating_margin,net_margin,ebitda_margin,fcf_margin,debt_to_assets,equity_ratio,revenue_per_sga,capex_intensity,revenue_yoy,profit_yoy
BA,Boeing,2022,66608000000.0,3530000000.0,-3509000000.0,-4935000000.0,-482000000.0,63078000000.0,4187000000.0,137100000000.0,152948000000.0,57277000000.0,14614000000.0,-15883000000.0,3512000000.0,-1222000000.0,2290000000.0,5.3,-5.27,-7.41,-0.72,3.44,41.78,-11.58,15.91,1.83,,
BA,Boeing,2023,77794000000.0,7724000000.0,-821000000.0,-2222000000.0,2315000000.0,70070000000.0,5168000000.0,137012000000.0,154240000000.0,52603000000.0,12691000000.0,-17233000000.0,5960000000.0,-1527000000.0,4433000000.0,9.93,-1.06,-2.86,2.98,5.7,38.39,-12.58,15.05,1.96,16.793778525102088,-54.97467071935157
BA,Boeing,2024,66517000000.0,-1991000000.0,-10824000000.0,-11817000000.0,-7649000000.0,68508000000.0,5021000000.0,156363000000.0,160277000000.0,54188000000.0,13801000000.0,-3908000000.0,-12080000000.0,-2318000000.0,-14398000000.0,-2.99,-16.27,-17.77,-11.5,-21.65,34.66,-2.5,13.25,3.48,-14.495976553461709,431.8181818181818
BA,Boeing,2025,89463000000.0,4289000000.0,-5416000000.0,2235000000.0,7359000000.0,85174000000.0,6090000000.0,168235000000.0,162778000000.0,54433000000.0,10921000000.0,5454000000.0,1065000000.0,-2951000000.0,-1886000000.0,4.79,-6.05,2.5,8.23,-2.11,32.36,3.24,14.69,3.3,34.496444517942784,-118.91342980451891
GD,General Dynamics,2022,39407000000.0,6622000000.0,4211000000.0,3390000000.0,5311000000.0,32785000000.0,2411000000.0,51585000000.0,33017000000.0,12114000000.0,1242000000.0,18568000000.0,4579000000.0,-1114000000.0,3465000000.0,16.8,10.69,8.6,13.48,8.79,23.48,35.99,16.34,2.83,,
GD,General Dynamics,2023,42272000000.0,6672000000.0,4245000000.0,3315000000.0,5246000000.0,35600000000.0,2427000000.0,54810000000.0,33511000000.0,11083000000.0,1913000000.0,21299000000.0,4710000000.0,-904000000.0,3806000000.0,15.78,10.04,7.84,12.41,9.0,20.22,38.86,17.42,2.14,7.270281929606415,-2.212389380530977
GD,General Dynamics,2024,47716000000.0,7364000000.0,4796000000.0,3782000000.0,5819000000.0,40352000000.0,2568000000.0,55880000000.0,33817000000.0,10676000000.0,1697000000.0,22063000000.0,4112000000.0,-916000000.0,3196000000.0,15.43,10.05,7.93,12.2,6.7,19.11,39.48,18.58,1.92,12.878501135503416,14.08748114630467
GD,General Dynamics,2025,52550000000.0,7951000000.0,5356000000.0,4210000000.0,6429000000.0,44599000000.0,2595000000.0,57249000000.0,31627000000.0,9789000000.0,2333000000.0,25622000000.0,5120000000.0,-1161000000.0,3959000000.0,15.13,10.19,8.01,12.23,7.53,17.1,44.76,20.25,2.21,10.130773744655874,11.316763617133784
HII,Huntington Ingalls,2021,9524000000.0,1368000000.0,472000000.0,544000000.0,1004000000.0,8156000000.0,898000000.0,10627000000.0,7819000000.0,3492000000.0,627000000.0,2808000000.0,760000000.0,-331000000.0,429000000.0,14.36,4.96,5.71,10.54,4.5,32.86,26.42,10.61,3.48,,
HII,Huntington Ingalls,2022,10676000000.0,1440000000.0,517000000.0,579000000.0,1179000000.0,9236000000.0,924000000.0,10857000000.0,7368000000.0,3151000000.0,467000000.0,3489000000.0,766000000.0,-284000000.0,482000000.0,13.49,4.84,5.42,11.04,4.51,29.02,32.14,11.55,2.66,12.095758084838293,6.433823529411775
HII,Huntington Ingalls,2023,11454000000.0,1646000000.0,744000000.0,681000000.0,1295000000.0,9808000000.0,1022000000.0,11215000000.0,7122000000.0,2673000000.0,430000000.0,4093000000.0,970000000.0,-292000000.0,678000000.0,14.37,6.5,5.95,11.31,5.92,23.83,36.5,11.21,2.55,7.2873735481453705,17.616580310880824
HII,Huntington Ingalls,2024,11535000000.0,1450000000.0,486000000.0,550000000.0,1064000000.0,10085000000.0,973000000.0,12141000000.0,7475000000.0,3408000000.0,831000000.0,4666000000.0,393000000.0,-367000000.0,26000000.0,12.57,4.21,4.77,9.22,0.23,28.07,38.43,11.86,3.18,0.7071765322158141,-19.23641703377387
KTOS,Kratos Defense,2021,811500000.0,225100000.0,29700000.0,-2000000.0,62800000.0,586400000.0,160200000.0,1589500000.0,629200000.0,339500000.0,349400000.0,945100000.0,35300000.0,-46500000.0,-11200000.0,27.74,3.66,-0.25,7.74,-1.38,21.36,59.46,5.07,5.73,,
KTOS,Kratos Defense,2022,898300000.0,226000000.0,4600000.0,-36900000.0,26200000.0,672300000.0,182800000.0,1551500000.0,604000000.0,301800000.0,81300000.0,936300000.0,-25700000.0,-45400000.0,-71100000.0,25.16,0.51,-4.11,2.92,-7.91,19.45,60.35,4.91,5.05,10.6962415280345,1745.0
KTOS,Kratos Defense,2023,1037100000.0,268600000.0,32400000.0,-8900000.0,77500000.0,768500000.0,197800000.0,1632500000.0,634000000.0,321400000.0,72800000.0,976000000.0,65200000.0,-52400000.0,12800000.0,25.9,3.12,-0.86,7.47,1.23,19.69,59.79,5.24,5.05,15.451408215518203,-75.88075880758808
KTOS,Kratos Defense,2024,1136300000.0,287200000.0,32900000.0,16300000.0,93600000.0,849100000.0,214000000.0,1950900000.0,597700000.0,282000000.0,329300000.0,1353200000.0,49700000.0,-58200000.0,-8500000.0,25.28,2.9,1.43,8.24,-0.75,14.45,69.36,5.31,5.12,9.565133545463311,-283.14606741573033
LDOS,Leidos Holdings,2021,13737000000.0,2014000000.0,1163000000.0,753000000.0,1476000000.0,11723000000.0,851000000.0,13261000000.0,8917000000.0,5665000000.0,727000000.0,4291000000.0,1033000000.0,-104000000.0,929000000.0,14.66,8.47,5.48,10.74,6.76,42.72,32.36,16.14,0.76,,
LDOS,Leidos Holdings,2022,14396000000.0,2084000000.0,1133000000.0,685000000.0,1418000000.0,12312000000.0,951000000.0,13071000000.0,8718000000.0,5490000000.0,516000000.0,4299000000.0,992000000.0,-129000000.0,863000000.0,14.48,7.87,4.76,9.85,5.99,42.0,32.89,15.14,0.9,4.797262866710339,-9.030544488711822
LDOS,Leidos Holdings,2023,15438000000.0,2244000000.0,1302000000.0,199000000.0,946000000.0,13194000000.0,942000000.0,12695000000.0,8437000000.0,5198000000.0,777000000.0,4201000000.0,1165000000.0,-207000000.0,958000000.0,14.54,8.43,1.29,6.13,6.21,40.95,33.09,16.39,1.34,7.238121700472355,-70.94890510948906
LDOS,Leidos Holdings,2024,16662000000.0,2798000000.0,1815000000.0,1254000000.0,2122000000.0,13864000000.0,983000000.0,13104000000.0,8644000000.0,5291000000.0,943000000.0,4412000000.0,1392000000.0,-149000000.0,1243000000.0,16.79,10.89,7.53,12.74,7.46,40.38,33.67,16.95,0.89,7.928488146132917,530.1507537688442
LHX,L3Harris Technologies,2021,17814000000.0,5376000000.0,2096000000.0,1846000000.0,3515000000.0,12438000000.0,3280000000.0,34709000000.0,15390000000.0,7829000000.0,941000000.0,19213000000.0,2687000000.0,-342000000.0,2345000000.0,30.18,11.77,10.36,19.73,13.16,22.56,55.35,5.43,1.92,,
LHX,L3Harris Technologies,2022,17062000000.0,4927000000.0,1929000000.0,1062000000.0,2490000000.0,12135000000.0,2998000000.0,33524000000.0,14900000000.0,7045000000.0,880000000.0,18523000000.0,2158000000.0,-252000000.0,1906000000.0,28.88,11.31,6.22,14.59,11.17,21.01,55.25,5.69,1.48,-4.2213988997417795,-42.47020585048754
LHX,L3Harris Technologies,2023,19419000000.0,5113000000.0,2025000000.0,1227000000.0,2930000000.0,14306000000.0,1921000000.0,41687000000.0,22858000000.0,13125000000.0,560000000.0,18765000000.0,2096000000.0,-449000000.0,1647000000.0,26.33,10.43,6.32,15.09,8.48,31.48,45.01,10.11,2.31,13.81432422928144,15.536723163841803
LHX,L3Harris Technologies,2024,21325000000.0,5524000000.0,2077000000.0,1502000000.0,3561000000.0,15801000000.0,2153000000.0,42001000000.0,22422000000.0,12236000000.0,615000000.0,19514000000.0,2559000000.0,-408000000.0,2151000000.0,25.9,9.74,7.04,16.7,10.09,29.13,46.46,9.9,1.91,9.815129512333275,22.412387938060306
LMT,Lockheed Martin,2021,,,,,,,,,,,,,,,,,,,,,,,,,,
LMT,Lockheed Martin,2022,65984000000.0,8287000000.0,8348000000.0,5732000000.0,8707000000.0,57697000000.0,,52880000000.0,43614000000.0,15547000000.0,2547000000.0,9266000000.0,7802000000.0,-1670000000.0,6132000000.0,12.56,12.65,8.69,13.2,9.29,29.4,17.52,,2.53,,
LMT,Lockheed Martin,2023,67571000000.0,8479000000.0,8507000000.0,6920000000.0,10444000000.0,59092000000.0,,52456000000.0,45621000000.0,17459000000.0,1442000000.0,6835000000.0,7920000000.0,-1691000000.0,6229000000.0,12.55,12.59,10.24,15.46,9.22,33.28,13.03,,2.5,2.405128516003874,20.72575017445917
LMT,Lockheed Martin,2024,71043000000.0,6930000000.0,7013000000.0,5336000000.0,8815000000.0,64113000000.0,,55617000000.0,49284000000.0,20270000000.0,2483000000.0,6333000000.0,6972000000.0,-1685000000.0,5287000000.0,9.75,9.87,7.51,12.41,7.44,36.45,11.39,,2.37,5.138298974412092,-22.890173410404625
NOC,Northrop Grumman,2022,36602000000.0,7474000000.0,3601000000.0,4896000000.0,7684000000.0,29128000000.0,3873000000.0,43755000000.0,28443000000.0,13629000000.0,2577000000.0,15312000000.0,2901000000.0,-1435000000.0,1466000000.0,20.42,9.84,13.38,20.99,4.01,31.15,34.99,9.45,3.92,,
NOC,Northrop Grumman,2023,39290000000.0,6551000000.0,2537000000.0,2056000000.0,4229000000.0,32739000000.0,4014000000.0,46544000000.0,31749000000.0,15678000000.0,3109000000.0,14795000000.0,3875000000.0,-1775000000.0,2100000000.0,16.67,6.46,5.23,10.76,5.34,33.68,31.79,9.79,4.52,7.3438609912026775,-58.006535947712415
NOC,Northrop Grumman,2024,41033000000.0,8362000000.0,4370000000.0,4174000000.0,7007000000.0,32671000000.0,3992000000.0,49359000000.0,34069000000.0,16490000000.0,4353000000.0,15290000000.0,4388000000.0,-1767000000.0,2621000000.0,20.38,10.65,10.17,17.08,6.39,33.41,30.98,10.28,4.31,4.43624331891066,103.01556420233462
