order_id,order_date,region,sales_channel,product_category,customer_segment,customer_age,unit_price,quantity,discount_pct,revenue,cost,profit,shipping_days,satisfaction_score,returned
ORD-01565,2023-07-26 07:52:33.376688344,East,Online,Books,Returning,33.0,11.55,4,12.8,46.21,8.33,6.99,3.0,5.0,0
ORD-01140,2023-02-21 03:00:48.624312156,West,Mobile App,Clothing,Returning,35.0,10.42,1,2.9,10.42,7.36,2.75,2.0,4.0,0
ORD-01110,2023-02-10 04:04:55.347673837,North,Online,Home & Garden,VIP,42.0,5.0,2,24.4,10.0,3.78,-0.01,1.0,4.0,0
ORD-01447,2023-06-13 05:40:43.821910956,East,Online,Books,Returning,18.0,16.56,3,3.3,49.69,12.99,9.1,2.0,4.0,0
ORD-01699,2023-09-13 06:18:11.345672836,South,Mobile App,Food & Beverage,New,33.0,5.0,2,1.0,10.0,2.92,4.06,2.0,3.0,1
ORD-01308,2023-04-23 11:25:46.973486744,East,Online,Books,Returning,39.0,23.45,2,14.0,46.91,17.13,6.06,4.0,4.0,0
ORD-02022,2024-01-09 05:11:54.957478740,West,Mobile App,Food & Beverage,VIP,32.0,30.7,2,27.2,61.39,23.46,-2.22,1.0,5.0,0
ORD-02621,2024-08-14 23:03:48.714357176,North,Online,Food & Beverage,Returning,18.0,40.47,1,13.9,40.47,25.57,9.26,4.0,,0
ORD-01172,2023-03-04 19:28:25.452726363,South,Online,Clothing,New,53.0,5.0,4,4.1,20.0,3.58,4.85,2.0,3.0,0
ORD-02388,2024-05-21 20:57:44.932466232,West,Online,Home & Garden,New,55.0,79.34,6,16.7,476.03,45.75,121.93,3.0,2.0,0
ORD-01993,2023-12-29 15:01:53.456728364,East,Online,Sports,New,,42.43,5,12.2,212.16,28.41,44.25,3.0,4.0,0
ORD-02741,2024-09-27 18:47:21.820910456,East,Mobile App,Home & Garden,New,28.0,98.11,2,11.6,196.22,66.57,40.3,2.0,4.0,0
ORD-01430,2023-06-07 00:41:03.631815908,North,In-Store,Sports,Returning,29.0,59.42,2,17.8,118.84,35.1,27.51,0.0,4.0,1
ORD-02964,2024-12-18 05:14:47.843921960,East,Online,Home & Garden,Returning,18.0,94.28,5,0.6,471.38,72.65,105.24,2.0,5.0,0
ORD-02931,2024-12-06 04:01:19.239619808,East,Online,Clothing,Returning,18.0,30.53,2,15.1,61.05,21.84,8.18,0.0,4.0,0
ORD-01595,2023-08-06 06:48:26.653326664,South,Mobile App,Sports,New,46.0,21.23,1,0.7,21.23,14.48,6.6,3.0,2.0,0
ORD-02552,2024-07-20 18:19:16.178089048,West,In-Store,Food & Beverage,Returning,38.0,12.99,1,15.6,12.99,7.33,3.64,3.0,5.0,0
ORD-02674,2024-09-03 07:34:32.836418208,East,In-Store,Food & Beverage,Returning,36.0,13.15,2,15.6,26.29,10.16,1.88,0.0,2.0,0
ORD-02877,2024-11-16 10:44:43.341670840,South,Mobile App,Sports,Returning,34.0,47.42,1,9.1,47.42,33.07,10.05,4.0,4.0,0
ORD-01688,2023-09-09 05:53:41.810905452,East,In-Store,Home & Garden,Returning,34.0,85.58,5,10.5,427.91,61.93,73.19,0.0,,0
ORD-02132,2024-02-18 09:16:50.305152576,North,Phone,Electronics,Returning,35.0,83.92,2,4.9,167.84,47.86,63.91,4.0,5.0,0
ORD-01858,2023-11-10 07:50:23.711855928,East,Online,FOOD & BEVERAGE,VIP,33.0,28.27,1,18.9,28.27,18.02,4.9,4.0,5.0,0
ORD-01879,2023-11-17 23:53:31.005502752,North,Online,Books,New,33.0,15.13,3,5.0,45.38,10.86,10.53,4.0,3.0,0
ORD-02847,2024-11-05 11:48:50.065032520,North,In-Store,Sports,Returning,43.0,38.24,1,8.4,38.24,30.07,4.95,0.0,4.0,0
ORD-02977,2024-12-22 23:11:00.930465232,South,In-Store,Electronics,Returning,30.0,210.85,3,8.5,632.55,137.34,166.48,1.0,4.0,0
ORD-01002,2023-01-01 17:31:43.551775887,East,Phone,Sports,VIP,64.0,5.0,6,22.3,30.0,2.89,5.99,5.0,4.0,0
ORD-02208,2024-03-17 03:22:25.272636320,North,In-Store,Books,Returning,51.0,31.96,2,10.1,63.92,22.84,11.78,0.0,4.0,0
ORD-02499,2024-07-01 09:48:32.056028016,West,Mobile App,Sports,Returning,24.0,34.6,1,10.1,34.6,26.7,4.4,1.0,4.0,0
ORD-02973,2024-12-21 12:07:33.826913456,South,Mobile App,Books,VIP,35.0,21.02,5,19.0,105.12,12.25,23.88,2.0,3.0,0
ORD-02960,2024-12-16 18:11:20.740370184,North,In-Store,Clothing,VIP,62.0,40.27,2,10.8,80.54,24.01,23.82,1.0,4.0,0
ORD-02702,2024-09-13 12:58:42.561280640,South,Online,Home & Garden,Returning,52.0,109.72,3,1.7,329.17,81.87,78.05,0.0,4.0,0
ORD-01898,2023-11-24 22:24:54.747373688,North,In-Store,Electronics,New,18.0,131.17,5,18.7,655.86,84.32,111.62,0.0,4.0,0
ORD-02677,2024-09-04 09:52:08.164082040,South,Online,Electronics,VIP,52.0,5.0,4,26.2,20.0,3.77,-0.34,3.0,3.0,0
ORD-01561,2023-07-24 20:49:06.273136568,North,Mobile App,Clothing,New,26.0,51.42,3,2.7,154.26,31.58,55.35,3.0,5.0,0
ORD-02306,2024-04-21 22:16:59.309654832,East,Online,Home & Garden,VIP,64.0,51.86,4,23.8,207.44,28.65,43.56,,4.0,0
ORD-01375,2023-05-17 22:38:35.957978990,South,Online,Home & Garden,New,52.0,33.6,3,3.2,100.79,19.8,38.16,3.0,4.0,0
ORD-01705,2023-09-15 10:53:22.001000500,West,Mobile App,Clothing,VIP,38.0,78.84,3,18.6,236.51,55.42,26.16,1.0,3.0,0
ORD-01587,2023-08-03 08:41:32.446223112,North,Mobile App,Electronics,New,31.0,112.26,2,0.2,224.52,87.06,50.02,3.0,4.0,0
ORD-02041,2024-01-16 03:43:18.699349676,East,Phone,Home & Garden,Returning,35.0,33.16,2,6.4,66.32,25.69,10.67,6.0,4.0,0
ORD-01817,2023-10-26 08:30:00.900450224,South,Online,Books,VIP,31.0,23.5,6,23.6,140.99,14.43,21.14,1.0,5.0,0
ORD-01229,2023-03-25 15:02:36.678339170,East,Online,Electronics,Returning,25.0,156.8,3,15.4,470.41,111.09,64.52,3.0,3.0,1
ORD-01415,2023-06-01 13:13:06.993496748,South,Phone,Home & Garden,Returning,32.0,62.16,3,4.0,186.49,34.74,74.75,4.0,2.0,0
ORD-02969,2024-12-20 01:04:06.723361680,North,Online,Books,VIP,30.0,26.46,10,17.8,264.62,20.44,13.11,5.0,5.0,0
ORD-01653,2023-08-27 11:08:29.654827416,East,Online,Books,New,41.0,5.0,1,1.6,5.0,3.79,1.13,5.0,4.0,0
ORD-01504,2023-07-04 01:14:55.047523762,East,Online,Home & Garden,New,21.0,33.14,1,12.9,33.14,22.5,6.36,4.0,5.0,1
ORD-02156,2024-02-27 03:37:32.926463232,North,Phone,Electronics,Returning,34.0,70.66,2,0.1,141.32,51.33,38.56,4.0,4.0,0
ORD-02893,2024-11-22 06:58:31.755877944,North,In-Store,Electronics,Returning,51.0,199.86,2,6.9,399.71,158.03,56.08,0.0,4.0,0
ORD-02944,2024-12-10 21:57:32.326163080,East,Online,Food & Beverage,Returning,60.0,25.24,4,6.8,100.96,17.15,25.46,8.0,4.0,0
ORD-02453,2024-06-14 14:38:50.365182592,East,Online,Clothing,Returning,29.0,315.42,1,3.2,48.14,36.1,10.51,3.0,4.0,0
ORD-02409,2024-05-29 13:00:52.226113056,West,Online,Home & Garden,Returning,18.0,18.34,1,0.6,18.34,13.7,4.53,3.0,3.0,0
ORD-02717,2024-09-19 00:26:39.199599800,East,Online,Clothing,VIP,52.0,69.45,7,18.7,486.12,39.88,116.23,4.0,5.0,0
ORD-01651,2023-08-26 17:36:46.103051528,South,Online,Sports,VIP,42.0,34.95,9,18.4,314.52,21.95,59.13,2.0,2.0,0
ORD-01441,2023-06-11 01:05:33.166583292,West,In-Store,Books,New,45.0,6.06,3,6.6,18.18,3.69,5.9,0.0,3.0,0
ORD-01237,2023-03-28 13:09:30.885442722,North,Online,Sports,Returning,36.0,24.3,1,8.1,24.3,16.58,5.76,5.0,4.0,0
ORD-02199,2024-03-13 20:29:39.289644824,North,Online,Clothing,VIP,54.0,48.05,2,29.1,96.09,37.61,-7.07,5.0,4.0,0
ORD-01738,2023-09-27 12:06:50.605302652,South,Phone,Clothing,New,35.0,64.16,4,12.7,256.64,49.7,25.15,3.0,5.0,0
ORD-02861,2024-11-10 14:30:54.927463736,East,In-Store,Home & Garden,New,36.0,64.23,2,13.4,128.46,35.54,40.11,,4.0,0
ORD-02025,2024-01-10 07:29:30.285142572,South,Online,Home & Garden,Returning,34.0,79.28,4,6.1,317.14,45.74,114.7,4.0,1.0,0
ORD-01339,2023-05-04 19:07:32.026013006,North,In-Store,Electronics,New,59.0,263.73,8,0.9,2109.87,186.81,597.3,0.0,3.0,0
ORD-01340,2023-05-05 03:53:23.801900950,South,Mobile App,Clothing,New,31.0,23.66,1,13.5,23.66,17.82,2.64,3.0,3.0,0
ORD-01590,2023-08-04 10:59:07.773886944,North,Mobile App,Home & Garden,Returning,45.0,21.44,7,13.4,150.1,12.24,44.28,3.0,3.0,0
ORD-02528,2024-07-11 23:58:33.556778392,West,Phone,Clothing,Returning,33.0,40.16,4,16.8,160.64,23.41,40.0,6.0,4.0,0
ORD-02583,2024-08-01 02:01:01.230615312,South,Mobile App,Sports,New,18.0,69.26,1,3.2,69.26,40.85,26.21,3.0,4.0,0
ORD-02477,2024-06-23 08:59:32.986493248,East,In-Store, Sports,New,38.0,26.8,4,0.6,107.2,19.54,28.4,2.0,4.0,0
ORD-02647,2024-08-24 10:56:14.887443720,West,In-Store,Sports,New,46.0,55.27,9,18.8,497.39,31.53,119.83,0.0,3.0,0
ORD-02548,2024-07-19 07:15:49.074537272,North,Online,Clothing,VIP,33.0,95.06,2,12.9,190.12,53.8,57.96,6.0,5.0,0
ORD-02395,2024-05-24 10:18:47.363681840,West,Phone,Clothing,New,54.0,9.78,1,18.6,9.78,7.68,0.28,5.0,4.0,0
ORD-01397,2023-05-25 23:27:35.027513758,South,Online,Electronics,New,34.0,54.09,1,10.7,54.09,39.58,8.72,0.0,,0
ORD-01824,2023-10-28 21:51:03.331665832,South,Online,Home & Garden,New,21.0,65.81,2,0.2,131.62,49.04,33.21,3.0,2.0,0
ORD-02591,2024-08-04 00:07:55.437718864,West,Online,Home & Garden,VIP,48.0,29.56,5,11.3,147.79,23.02,16.04,3.0,4.0,0
ORD-02027,2024-01-11 01:01:13.836918460,West,In-Store,Electronics,VIP,36.0,82.11,3,14.3,246.33,60.23,30.35,1.0,4.0,0
